Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1785336660325601.060	,258.980,0,40,0,NO,"""4096,4096;4096,4096""",FLOAT;FLOAT,ND;ND,"""4096,4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.861,16820834,6.784,0.027,3.949,0.015,248.433,0.975,79.363,0.311,0.011,0.000
0,4294967295,1,47,Concat,Concat,dynamic,AI_VECTOR_CORE,1785336663210778.140	,8.820,2884918.270000,6,0,NO,"""2,40000;1,40000""",FLOAT16;FLOAT16,ND;ND,"""3,40000""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.543,36208,0.035,0.005,5.037,0.668,1.095,0.145,0.596,0.079,0.194,0.000
0,4294967295,2,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1785336663210875.860	,328.760,88.680000,40,0,NO,"""4096,4096;4096,4096""",FLOAT;FLOAT,ND;ND,"""4096,4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.491,14095712,13.993,0.032,5.448,0.012,437.973,0.994,147.237,0.334,0.0,0.000
0,4294967295,3,47,Concat,Concat,dynamic,AI_VECTOR_CORE,1785336663211204.640	,6.560,0.240000,6,0,NO,"""2,40000;1,40000""",FLOAT16;FLOAT16,ND;ND,"""3,40000""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.684,56082,0.035,0.003,6.482,0.555,2.021,0.173,0.698,0.06,0.199,0.000
0,4294967295,4,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1785336663211211.220	,328.200,0.000000,40,0,NO,"""4096,4096;4096,4096""",FLOAT;FLOAT,ND;ND,"""4096,4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.448,21413544,6.784,0.021,3.055,0.009,322.742,0.995,109.896,0.339,0.0,0.000
0,4294967295,5,47,Concat,Concat,dynamic,AI_VECTOR_CORE,1785336663211539.440	,6.640,0.050000,6,0,NO,"""2,40000;1,40000""",FLOAT16;FLOAT16,ND;ND,"""3,40000""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.869,58103,0.017,0.003,3.087,0.526,0.925,0.158,0.39,0.067,0.202,0.000
0,4294967295,6,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1785336663211546.100	,327.640,0.000000,40,0,NO,"""4096,4096;4096,4096""",FLOAT;FLOAT,ND;ND,"""4096,4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.426,21412086,6.784,0.021,2.973,0.009,322.53,0.994,112.709,0.347,0.0,0.000
0,4294967295,7,47,Concat,Concat,dynamic,AI_VECTOR_CORE,1785336663211873.760	,6.580,0.110000,6,0,NO,"""2,40000;1,40000""",FLOAT16;FLOAT16,ND;ND,"""3,40000""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.581,55248,0.017,0.003,2.901,0.52,0.901,0.161,0.373,0.067,0.199,0.000
0,4294967295,8,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1785336663211880.360	,327.860,0.000000,40,0,NO,"""4096,4096;4096,4096""",FLOAT;FLOAT,ND;ND,"""4096,4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.116,21391684,6.784,0.021,3.039,0.009,322.467,0.995,111.155,0.343,0.0,0.000
0,4294967295,9,47,Concat,Concat,dynamic,AI_VECTOR_CORE,1785336663212208.260	,6.600,0.140000,6,0,NO,"""2,40000;1,40000""",FLOAT16;FLOAT16,ND;ND,"""3,40000""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.443,53885,0.017,0.003,3.124,0.574,1.065,0.196,0.364,0.067,0.201,0.000
0,4294967295,10,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1785336663212214.880	,328.320,0.150000,40,0,NO,"""4096,4096;4096,4096""",FLOAT;FLOAT,ND;ND,"""4096,4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.546,21354016,6.784,0.021,2.921,0.009,321.798,0.995,110.292,0.341,0.0,0.000
0,4294967295,11,47,Concat,Concat,dynamic,AI_VECTOR_CORE,1785336663212543.220	,6.740,0.000000,6,0,NO,"""2,40000;1,40000""",FLOAT16;FLOAT16,ND;ND,"""3,40000""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.881,58218,0.017,0.003,3.151,0.536,1.07,0.182,0.36,0.061,0.201,0.000
0,4294967295,12,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1785336663212549.980	,329.060,0.010000,40,0,NO,"""4096,4096;4096,4096""",FLOAT;FLOAT,ND;ND,"""4096,4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.184,21462129,6.784,0.021,2.996,0.009,323.454,0.995,110.997,0.341,0.0,0.000
0,4294967295,13,47,Concat,Concat,dynamic,AI_VECTOR_CORE,1785336663212879.080	,6.820,0.000000,6,0,NO,"""2,40000;1,40000""",FLOAT16;FLOAT16,ND;ND,"""3,40000""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.845,47961,0.017,0.004,2.913,0.601,1.054,0.218,0.329,0.068,0.142,0.000
0,4294967295,14,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1785336663212885.920	,327.800,0.180000,40,0,NO,"""4096,4096;4096,4096""",FLOAT;FLOAT,ND;ND,"""4096,4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.699,21364165,6.784,0.021,2.882,0.009,322.211,0.995,109.719,0.339,0.0,0.000
0,4294967295,15,47,Concat,Concat,dynamic,AI_VECTOR_CORE,1785336663213213.740	,4.940,0.000000,6,0,NO,"""2,40000;1,40000""",FLOAT16;FLOAT16,ND;ND,"""3,40000""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.759,37215,0.017,0.005,2.795,0.744,0.78,0.208,0.383,0.102,0.0,0.000
0,4294967295,16,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1785336663213218.700	,328.340,0.060000,40,0,NO,"""4096,4096;4096,4096""",FLOAT;FLOAT,ND;ND,"""4096,4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.556,21420727,6.784,0.021,3.003,0.009,322.907,0.995,110.298,0.34,0.0,0.000
0,4294967295,17,47,Concat,Concat,dynamic,AI_VECTOR_CORE,1785336663213547.080	,4.880,0.000000,6,0,NO,"""2,40000;1,40000""",FLOAT16;FLOAT16,ND;ND,"""3,40000""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.844,38053,0.017,0.004,2.829,0.736,0.835,0.217,0.379,0.099,0.0,0.000
0,4294967295,18,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1785336663213551.980	,327.880,0.120000,40,0,NO,"""4096,4096;4096,4096""",FLOAT;FLOAT,ND;ND,"""4096,4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.53,21418957,6.784,0.021,3.129,0.01,322.777,0.995,110.353,0.34,0.0,0.000
0,4294967295,19,47,Concat,Concat,dynamic,AI_VECTOR_CORE,1785336663213879.880	,4.860,0.120000,6,0,NO,"""2,40000;1,40000""",FLOAT16;FLOAT16,ND;ND,"""3,40000""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.987,39467,0.017,0.004,2.8,0.702,0.951,0.239,0.433,0.109,0.0,0.000
0,4294967295,20,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1785336663213884.760	,325.940,0.000000,40,0,NO,"""4096,4096;4096,4096""",FLOAT;FLOAT,ND;ND,"""4096,4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.695,21297840,6.784,0.021,3.01,0.009,321.005,0.995,109.385,0.339,0.0,0.000
